                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200609"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  7.5852787893281029E+003                  9.9999996926760104E-001                  9.1799322639910894E+000                  5.1133918736260409E+000                  0.0000000000000000E+000                                        0                                        0 
                                       2                  1.6687613336521827E+004                  9.9999993508608298E-001                  8.7015917716739342E+000                  4.9645290201520416E+000                  0.0000000000000000E+000                                        0                                        0 
                                       3                  2.6631112684304997E+004                  9.9999990072189993E-001                  8.2352708477623242E+000                  4.8194698763123043E+000                  0.0000000000000000E+000                                        0                                        0 
                                       4                  3.5329274450347650E+004                  9.9999987310374461E-001                  7.8726969405444995E+000                  4.7045143400433611E+000                  0.0000000000000000E+000                                        0                                        0 
                                       5                  4.3786859972985709E+004                  9.9999984804410780E-001                  7.5619553201400800E+000                  4.6019849982567500E+000                  0.0000000000000000E+000                                        0                                        0 
                                       6                  5.3935962600151383E+004                  9.9999981978899777E-001                  7.2202442197373129E+000                  4.4898619998649307E+000                  0.0000000000000000E+000                                        0                                        0 
                                       7                  6.6072343051767471E+004                  9.9999978831411429E-001                  6.8612805835108226E+000                  4.3688933838544930E+000                  0.0000000000000000E+000                                        0                                        0 
                                       8                  7.7143688255215253E+004                  9.9999976176395688E-001                  6.5655242872460402E+000                  4.2684901518783454E+000                  0.0000000000000000E+000                                        0                                        0 
                                       9                  9.0429302499352605E+004                  9.9999973197773473E-001                  6.2488394415086921E+000                  4.1593103067647830E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.0589708054515981E+005                  9.9999969981605497E-001                  5.9274362827264282E+000                  4.0450509294253729E+000                  0.0000000000000000E+000                                        0                                        0 
                                      11                  1.1984965571293193E+005                  9.9999967305301907E-001                  5.6656802389389682E+000                  3.9514593148129999E+000                  0.0000000000000000E+000                                        0                                        0 
                                      12                  1.3659274591425847E+005                  9.9999964306586009E-001                  5.3900852244711697E+000                  3.8497587149112800E+000                  0.0000000000000000E+000                                        0                                        0 
                                      13                  1.5598787261274288E+005                  9.9999961086911948E-001                  5.1065199740616700E+000                  3.7439925398807152E+000                  0.0000000000000000E+000                                        0                                        0 
                                      14                  1.7346495941066806E+005                  9.9999958413787315E-001                  4.8777389388845664E+000                  3.6574993026967135E+000                  0.0000000000000000E+000                                        0                                        0 
                                      15                  1.9443746356817827E+005                  9.9999955420535447E-001                  4.6358382071908517E+000                  3.5636089347989390E+000                  0.0000000000000000E+000                                        0                                        0 
                                      16                  2.1873092059378445E+005                  9.9999952209849619E-001                  4.3909953857753017E+000                  3.4659855061969207E+000                  0.0000000000000000E+000                                        0                                        0 
                                      17                  2.4063521831490559E+005                  9.9999949542934152E-001                  4.1923631188336055E+000                  3.3861232979594145E+000                  0.0000000000000000E+000                                        0                                        0 
                                      18                  2.6692037558025098E+005                  9.9999946557809694E-001                  3.9811704007826236E+000                  3.2994818049033885E+000                  0.0000000000000000E+000                                        0                                        0 
                                      19                  2.9736401814826869E+005                  9.9999943358595378E-001                  3.7653737712232762E+000                  3.2095229472878040E+000                  0.0000000000000000E+000                                        0                                        0 
                                      20                  3.2485494684302941E+005                  9.9999940700759116E-001                  3.5951284689753398E+000                  3.1358142368250990E+000                  0.0000000000000000E+000                                        0                                        0 
                                      21                  3.5784406127674232E+005                  9.9999937725494181E-001                  3.4105541495721381E+000                  3.0559156950874038E+000                  0.0000000000000000E+000                                        0                                        0 
                                      22                  3.9608358763163997E+005                  9.9999934537121471E-001                  3.2227780265106198E+000                  2.9729301018139442E+000                  0.0000000000000000E+000                                        0                                        0 
                                      23                  4.3065923421259358E+005                  9.9999931886939619E-001                  3.0741984836401346E+000                  2.9048867548548736E+000                  0.0000000000000000E+000                                        0                                        0 
