                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210726"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  7.5852787893281029E+003                  9.9999992316900232E-001                  9.1799323736927079E+000                  5.1133919502644876E+000                  0.0000000000000000E+000                                        0                                        0 
                                       2                  1.6687613336521827E+004                  9.9999983771520085E-001                  8.7015917075284399E+000                  4.9645291594628329E+000                  0.0000000000000000E+000                                        0                                        0 
                                       3                  2.6631140426831069E+004                  9.9999975180449330E-001                  8.2352694657641052E+000                  4.8194696897335980E+000                  0.0000000000000000E+000                                        0                                        0 
                                       4                  3.5329323976042055E+004                  9.9999968275893614E-001                  7.8726947741145921E+000                  4.7045139432836338E+000                  0.0000000000000000E+000                                        0                                        0 
                                       5                  4.3786929764927612E+004                  9.9999962010970511E-001                  7.5619525475950411E+000                  4.6019844344641916E+000                  0.0000000000000000E+000                                        0                                        0 
                                       6                  5.3936056711590281E+004                  9.9999954947177927E-001                  7.2202407760340011E+000                  4.4898612646107114E+000                  0.0000000000000000E+000                                        0                                        0 
                                       7                  6.6072485890824028E+004                  9.9999947078428431E-001                  6.8612759294003931E+000                  4.3688922963063082E+000                  0.0000000000000000E+000                                        0                                        0 
                                       8                  7.7143867298557598E+004                  9.9999940440871460E-001                  6.5655189959131111E+000                  4.2684888653177557E+000                  0.0000000000000000E+000                                        0                                        0 
                                       9                  9.0429524987837882E+004                  9.9999932994297136E-001                  6.2488334960255703E+000                  4.1593088213538163E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.0589737482856894E+005                  9.9999924953847152E-001                  5.9274294552636482E+000                  4.0450491100667314E+000                  0.0000000000000000E+000                                        0                                        0 
                                      11                  1.1985000280770524E+005                  9.9999918263070564E-001                  5.6656728697817140E+000                  3.9514573195863476E+000                  0.0000000000000000E+000                                        0                                        0 
                                      12                  1.3659315638266882E+005                  9.9999910766262323E-001                  5.3900773880173274E+000                  3.8497565470253940E+000                  0.0000000000000000E+000                                        0                                        0 
                                      13                  1.5598838229460482E+005                  9.9999902717047973E-001                  5.1065114906308064E+000                  3.7439900808861433E+000                  0.0000000000000000E+000                                        0                                        0 
                                      14                  1.7346554324683716E+005                  9.9999896034219615E-001                  4.8777301230374821E+000                  3.6574966986421491E+000                  0.0000000000000000E+000                                        0                                        0 
                                      15                  1.9443813638951597E+005                  9.9999888551072402E-001                  4.6358290697930995E+000                  3.5636061905916834E+000                  0.0000000000000000E+000                                        0                                        0 
                                      16                  2.1873172871139241E+005                  9.9999880524329776E-001                  4.3909858067964045E+000                  3.4659825134402467E+000                  0.0000000000000000E+000                                        0                                        0 
                                      17                  2.4063612934067269E+005                  9.9999873857025279E-001                  4.1923533845622467E+000                  3.3861201875364992E+000                  0.0000000000000000E+000                                        0                                        0 
                                      18                  2.6692141009580903E+005                  9.9999866394197579E-001                  3.9811603589062070E+000                  3.2994785843465291E+000                  0.0000000000000000E+000                                        0                                        0 
                                      19                  2.9736523605457018E+005                  9.9999858396135122E-001                  3.7653634470941606E+000                  3.2095195202865510E+000                  0.0000000000000000E+000                                        0                                        0 
                                      20                  3.2485630696230463E+005                  9.9999851751529767E-001                  3.5951180771883853E+000                  3.1358107185708577E+000                  0.0000000000000000E+000                                        0                                        0 
                                      21                  3.5784559205158596E+005                  9.9999844313352160E-001                  3.4105436801899018E+000                  3.0559120926005030E+000                  0.0000000000000000E+000                                        0                                        0 
                                      22                  3.9608536628175993E+005                  9.9999836342395187E-001                  3.2227673664759373E+000                  2.9729263278187541E+000                  0.0000000000000000E+000                                        0                                        0 
                                      23                  4.3066120791644620E+005                  9.9999829716927013E-001                  3.0741878492554080E+000                  2.9048829123726221E+000                  0.0000000000000000E+000                                        0                                        0 
                                      24                  4.7215221787806973E+005                  9.9999822306490782E-001                  2.9150131375070676E+000                  2.8311578472858918E+000                  0.0000000000000000E+000                                        0                                        0 
                                      25                  5.2026184301907715E+005                  9.9999814365634432E-001                  2.7530348366691979E+000                  2.7546044780338872E+000                  0.0000000000000000E+000                                        0                                        0 
                                      26                  5.6383033734493854E+005                  9.9999807757569381E-001                  2.6223730667266421E+000                  2.6918092371368330E+000                  0.0000000000000000E+000                                        0                                        0 
                                      27                  6.1611253053597210E+005                  9.9999800376430403E-001                  2.4843555297674156E+000                  2.6238021000895650E+000                  0.0000000000000000E+000                                        0                                        0 
                                      28                  6.7678347703211184E+005                  9.9999792466795179E-001                  2.3440961814794141E+000                  2.5531759683578730E+000                  0.0000000000000000E+000                                        0                                        0 
                                      29                  7.3181377739312279E+005                  9.9999785879775582E-001                  2.2309301532624337E+000                  2.4951993125752248E+000                  0.0000000000000000E+000                                        0                                        0 
                                      30                  7.9785013782633585E+005                  9.9999778527779448E-001                  2.1122767487892067E+000                  2.4324386773216902E+000                  0.0000000000000000E+000                                        0                                        0 
                                      31                  8.7456122630028625E+005                  9.9999770644955588E-001                  1.9906801843243855E+000                  2.3672493908772214E+000                  0.0000000000000000E+000                                        0                                        0 
                                      32                  9.4425503954236396E+005                  9.9999764076387199E-001                  1.8929374929792289E+000                  2.3136835288095714E+000                  0.0000000000000000E+000                                        0                                        0 
                                      33                  1.0278876154328572E+006                  9.9999756750727831E-001                  1.7895029066171853E+000                  2.2557774972638689E+000                  0.0000000000000000E+000                                        0                                        0 
                                      34                  1.1251023862567726E+006                  9.9999748902131769E-001                  1.6843986212791628E+000                  2.1956462030207899E+000                  0.0000000000000000E+000                                        0                                        0 
                                      35                  1.2136080607285006E+006                  9.9999742355627730E-001                  1.6008790697105582E+000                  2.1461442671231534E+000                  0.0000000000000000E+000                                        0                                        0 
                                      36                  1.3198148700945745E+006                  9.9999735057677197E-001                  1.5117836128230788E+000                  2.0926795418452406E+000                  0.0000000000000000E+000                                        0                                        0 
                                      37                  1.4433680843468390E+006                  9.9999727240003211E-001                  1.4215490395603414E+000                  2.0371632545686245E+000                  0.0000000000000000E+000                                        0                                        0 
                                      38                  1.5560671079983914E+006                  9.9999720712621443E-001                  1.3489638162385940E+000                  1.9914335661085771E+000                  0.0000000000000000E+000                                        0                                        0 
                                      39                  1.6913059363802536E+006                  9.9999713446565575E-001                  1.2723927024704991E+000                  1.9420910949568599E+000                  0.0000000000000000E+000                                        0                                        0 
                                      40                  1.8497466532586846E+006                  9.9999705616077994E-001                  1.1949928082269692E+000                  1.8905714779042748E+000                  0.0000000000000000E+000                                        0                                        0 
                                      41                  1.9973695089572810E+006                  9.9999698945810200E-001                  1.1314492217804415E+000                  1.8473859756523914E+000                  0.0000000000000000E+000                                        0                                        0 
                                      42                  2.1745169357955968E+006                  9.9999691540233882E-001                  1.0651098821535101E+000                  1.8010033910223464E+000                  0.0000000000000000E+000                                        0                                        0 
                                      43                  2.3870938480015756E+006                  9.9999683384625293E-001                  9.9677111366129667E-001                  1.7517784610041631E+000                  0.0000000000000000E+000                                        0                                        0 
                                      44                  2.6307289224312678E+006                  9.9999674876266265E-001                  9.3066173372437744E-001                  1.7022517784862368E+000                  0.0000000000000000E+000                                        0                                        0 
                                      45                  2.8637223800901487E+006                  9.9999667493981614E-001                  8.7623254356526470E-001                  1.6602779427003036E+000                  0.0000000000000000E+000                                        0                                        0 
                                      46                  3.1433145292808064E+006                  9.9999659358999748E-001                  8.2065389599521898E-001                  1.6158806481633712E+000                  0.0000000000000000E+000                                        0                                        0 
                                      47                  3.4788251083095949E+006                  9.9999650460700440E-001                  7.6501381950974168E-001                  1.5694900902863955E+000                  0.0000000000000000E+000                                        0                                        0 
                                      48                  3.8814378031441416E+006                  9.9999640792473488E-001                  7.1025535665483797E-001                  1.5216049364710058E+000                  0.0000000000000000E+000                                        0                                        0 
                                      49                  4.3200129262323845E+006                  9.9999631312830628E-001                  6.6187917868732060E-001                  1.4768052434206482E+000                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.7397607803994045E+006                  9.9999623107009872E-001                  6.2359121880717039E-001                  1.4394894862207495E+000                  0.0000000000000000E+000                                        0                                        0 
                                      51                  5.2396478921493879E+006                  9.9999614132472703E-001                  5.8621442265458856E-001                  1.4009323639144902E+000                  0.0000000000000000E+000                                        0                                        0 
                                      52                  5.8395124262493672E+006                  9.9999604279698617E-001                  5.5029630192358536E-001                  1.3612791350095370E+000                  0.0000000000000000E+000                                        0                                        0 
                                      53                  6.4926067884730985E+006                  9.9999594494910382E-001                  5.1947209705717123E-001                  1.3243926980329772E+000                  0.0000000000000000E+000                                        0                                        0 
                                      54                  7.1017306343136486E+006                  9.9999586113514383E-001                  4.9663576176613983E-001                  1.2945800224639759E+000                  0.0000000000000000E+000                                        0                                        0 
                                      55                  7.8270114059941210E+006                  9.9999576787311772E-001                  4.7527396658658949E-001                  1.2638281338438651E+000                  0.0000000000000000E+000                                        0                                        0 
                                      56                  8.6432476199079752E+006                  9.9999566981586130E-001                  4.5713442656371867E-001                  1.2340955086441272E+000                  0.0000000000000000E+000                                        0                                        0 
                                      57                  9.3923730133271478E+006                  9.9999558529204524E-001                  4.4491580821165522E-001                  1.2104396363132450E+000                  0.0000000000000000E+000                                        0                                        0 
                                      58                  1.0129805892335312E+007                  9.9999550586372410E-001                  4.3628986029880407E-001                  1.1899755612363050E+000                  0.0000000000000000E+000                                        0                                        0 
                                      59                  1.1014725347145109E+007                  9.9999541397782854E-001                  4.2974564132798160E-001                  1.1684474791338681E+000                  0.0000000000000000E+000                                        0                                        0 
                                      60                  1.2042008367261071E+007                  9.9999531081036008E-001                  4.2652852356098553E-001                  1.1468195881866696E+000                  0.0000000000000000E+000                                        0                                        0 
                                      61                  1.2941830487485152E+007                  9.9999522278012143E-001                  4.2734344944865521E-001                  1.1304520450468425E+000                  0.0000000000000000E+000                                        0                                        0 
                                      62                  1.3788090363826545E+007                  9.9999514101557818E-001                  4.3092144853677006E-001                  1.1168922368382732E+000                  0.0000000000000000E+000                                        0                                        0 
                                      63                  1.4610505646414451E+007                  9.9999506185067943E-001                  4.3685062736464930E-001                  1.1051665766578500E+000                  0.0000000000000000E+000                                        0                                        0 
                                      64                  1.5419721114422118E+007                  9.9999498371362749E-001                  4.4499874353730118E-001                  1.0948429776239215E+000                  0.0000000000000000E+000                                        0                                        0 
                                      65                  1.6218973245175313E+007                  9.9999490583350992E-001                  4.5511632702060123E-001                  1.0856852315903829E+000                  0.0000000000000000E+000                                        0                                        0 
                                      66                  1.7008567269631807E+007                  9.9999482780336624E-001                  4.6708989911548671E-001                  1.0775387060935193E+000                  0.0000000000000000E+000                                        0                                        0 
                                      67                  1.7787889206191130E+007                  9.9999474935525379E-001                  4.8081227863784076E-001                  1.0702917778438263E+000                  0.0000000000000000E+000                                        0                                        0 
                                      68                  1.8556069729972281E+007                  9.9999467029225075E-001                  4.9618272531237445E-001                  1.0638564372570096E+000                  0.0000000000000000E+000                                        0                                        0 
                                      69                  1.9312276353584569E+007                  9.9999459045649275E-001                  5.1307216268917699E-001                  1.0581658072131601E+000                  0.0000000000000000E+000                                        0                                        0 
                                      70                  2.0055913079489417E+007                  9.9999450970968695E-001                  5.3146055327459074E-001                  1.0531514166994913E+000                  0.0000000000000000E+000                                        0                                        0 
                                      71                  2.0786667281196240E+007                  9.9999442790737980E-001                  5.5113126745412822E-001                  1.0487791426800768E+000                  0.0000000000000000E+000                                        0                                        0 
                                      72                  2.1504445102250632E+007                  9.9999434492965111E-001                  5.7214726608227440E-001                  1.0450060609979837E+000                  0.0000000000000000E+000                                        0                                        0 
                                      73                  2.2209409252722539E+007                  9.9999426062993346E-001                  5.9442660430251348E-001                  1.0417733299867447E+000                  0.0000000000000000E+000                                        0                                        0 
                                      74                  2.2901916308894306E+007                  9.9999417486136433E-001                  6.1783825168451678E-001                  1.0390274381398203E+000                  0.0000000000000000E+000                                        0                                        0 
                                      75                  2.3582372358735520E+007                  9.9999408749698127E-001                  6.4236761021404831E-001                  1.0367517495552230E+000                  0.0000000000000000E+000                                        0                                        0 
                                      76                  2.4251193128567778E+007                  9.9999399841277259E-001                  6.6782494116286573E-001                  1.0349038442285370E+000                  0.0000000000000000E+000                                        0                                        0 
                                      77                  2.4908896590279166E+007                  9.9999390749990325E-001                  6.9439411752388169E-001                  1.0333704858797019E+000                  0.0000000000000000E+000                                        0                                        0 
                                      78                  2.5555870457937282E+007                  9.9999381464999748E-001                  7.2131103327588053E-001                  1.0321796791602404E+000                  0.0000000000000000E+000                                        0                                        0 
                                      79                  2.6192114444973193E+007                  9.9999371990980690E-001                  7.4878102760715071E-001                  1.0312863200054792E+000                  0.0000000000000000E+000                                        0                                        0 
                                      80                  2.6816904737731770E+007                  9.9999362341563458E-001                  7.7634584345307966E-001                  1.0305832159397361E+000                  0.0000000000000000E+000                                        0                                        0 
                                      81                  2.7429621600246660E+007                  9.9999352536940567E-001                  8.0364057391657351E-001                  1.0299680748602809E+000                  0.0000000000000000E+000                                        0                                        0 
                                      82                  2.8029342378809378E+007                  9.9999342608809039E-001                  8.3012014678953361E-001                  1.0293274525450753E+000                  0.0000000000000000E+000                                        0                                        0 
                                      83                  2.8607390624124125E+007                  9.9999332730298951E-001                  8.5474379511072529E-001                  1.0284890773756949E+000                  0.0000000000000000E+000                                        0                                        0 
                                      84                  2.9158501413868081E+007                  9.9999323040663279E-001                  8.7663707997975615E-001                  1.0273157173978522E+000                  0.0000000000000000E+000                                        0                                        0 
                                      85                  2.9684267790518213E+007                  9.9999313570673432E-001                  8.9524006097603703E-001                  1.0256035525175919E+000                  0.0000000000000000E+000                                        0                                        0 
                                      86                  3.0192179078581676E+007                  9.9999304243718745E-001                  9.1019235213734384E-001                  1.0231552082831215E+000                  0.0000000000000000E+000                                        0                                        0 
                                      87                  3.0801672624257829E+007                  9.9999292891602498E-001                  9.2222650846300391E-001                  1.0185696136495934E+000                  0.0000000000000000E+000                                        0                                        0 
                                      88                  3.1533064879069213E+007                  9.9999279150811282E-001                  9.2697901351018941E-001                  1.0105448847520555E+000                  0.0000000000000000E+000                                        0                                        0 
                                      89                  3.2410735584842876E+007                  9.9999262707463621E-001                  9.1915733749386341E-001                  9.9757052114037281E-001                  0.0000000000000000E+000                                        0                                        0 
                                      90                  3.3463940431771271E+007                  9.9999243393139636E-001                  8.9418717879867915E-001                  9.7879802217994505E-001                  0.0000000000000000E+000                                        0                                        0 
                                      91                  3.4727786248085342E+007                  9.9999221269891081E-001                  8.5266138748196796E-001                  9.5525977267014872E-001                  0.0000000000000000E+000                                        0                                        0 
                                      92                  3.6244401227662228E+007                  9.9999196563642612E-001                  8.0209580947371240E-001                  9.3048545439425312E-001                  0.0000000000000000E+000                                        0                                        0 
                                      93                  3.8064339203154489E+007                  9.9999169397629373E-001                  7.5396346075030796E-001                  9.0888232516282397E-001                  0.0000000000000000E+000                                        0                                        0 
                                      94                  4.0248264773745202E+007                  9.9999139409717386E-001                  7.1730863374966913E-001                  8.9360811450475608E-001                  3.2454282157215847E-006                                        0                                        0 
                                      95                  4.2868975458454065E+007                  9.9999105749577821E-001                  6.9574030950850863E-001                  8.8528196693778816E-001                  3.2583880879429583E-006                                        0                                        0 
                                      96                  4.6013828280104697E+007                  9.9999066937299119E-001                  6.8705148981591913E-001                  8.8238727740707423E-001                  3.2586663657120732E-006                                        0                                        0 
                                      97                  4.9787651666085452E+007                  9.9999021094727147E-001                  6.8624927908119926E-001                  8.8246462382687085E-001                  3.2541756651711670E-006                                        0                                        0 
                                      98                  5.4316239729262359E+007                  9.9998966143026302E-001                  6.8876290485949998E-001                  8.8357144217775108E-001                  3.2498712963598908E-006                                        0                                        0 
                                      99                  5.9750545405074656E+007                  9.9998899876326275E-001                  6.9208128402898150E-001                  8.8476103198723344E-001                  3.2465794846276913E-006                                        0                                        0 
                                     100                  6.6271712216049396E+007                  9.9998819865437794E-001                  6.9550685776675725E-001                  8.8582640741483365E-001                  3.2437382420556276E-006                                        0                                        0 
