                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210727"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                    4903                  1.2496889587112417E+010                  5.3265028788532776E-001                  1.6254690508902590E+003                  9.8429904840211123E+001                  6.4851674956100920E-018                                        0                                        0 
                                    4904                  1.2496889952430187E+010                  5.3238994032170939E-001                  1.6247586172670917E+003                  9.7807965194357763E+001                  6.4778179055596848E-018                                        0                                        0 
                                    4905                  1.2496890390811510E+010                  5.3207952892042554E-001                  1.6241989561694625E+003                  9.7069779467443311E+001                  6.5491497430528703E-018                                        0                                        0 
                                    4906                  1.2496890916869099E+010                  5.3170964936373777E-001                  1.6238532371750500E+003                  9.6126144799872577E+001                  6.5652819601672016E-018                                        0                                        0 
                                    4907                  1.2496891548138205E+010                  5.3126950695920905E-001                  1.6238355923607887E+003                  9.4941036032411830E+001                  6.8981418182433072E-018                                        0                                        0 
                                    4908                  1.2496891926899668E+010                  5.3100801739270154E-001                  1.6239821533251718E+003                  9.4066958953987339E+001                  8.1777731356277883E-018                                        1                                        0 
                                    4909                  1.2496892305661131E+010                  5.3074845286408301E-001                  1.6241525736897722E+003                  9.3250720861217175E+001                  8.6934834188904083E-018                                        1                                        0 
                                    4910                  1.2496892760174889E+010                  5.3043908973016451E-001                  1.6247341458527451E+003                  9.2150040670319882E+001                  8.9029890946415305E-018                                        1                                        0 
                                    4911                  1.2496893305591396E+010                  5.3007108500530797E-001                  1.6261418706028940E+003                  9.0701685947794161E+001                  9.1902079402273033E-018                                        1                                        0 
                                    4912                  1.2496893960091204E+010                  5.2963408595742523E-001                  1.6281995634496047E+003                  8.8499014642273906E+001                  9.3386685343177237E-018                                        1                                        0 
                                    4913                  1.2496894352791088E+010                  5.2937639614929111E-001                  1.6294464166019311E+003                  8.7059656440680683E+001                  1.1178024162939711E-017                                        2                                        0 
                                    4914                  1.2496894745490974E+010                  5.2912179461418485E-001                  1.6307331498371868E+003                  8.5239506370839763E+001                  1.1080506145076831E-017                                        2                                        0 
                                    4915                  1.2496894981110905E+010                  5.2897156611625307E-001                  1.6314878968558392E+003                  8.4076168954111651E+001                  1.1096930888520312E-017                                        3                                        0 
                                    4916                  1.2496895216730837E+010                  5.2882300329002263E-001                  1.6322429318916613E+003                  8.2782886434936913E+001                  1.0349131047534800E-017                                        3                                        0 
                                    4917                  1.2496895452350769E+010                  5.2867634741994618E-001                  1.6330124693423741E+003                  8.1334302350755536E+001                  9.6915141643468072E-018                                        3                                        0 
                                    4918                  1.2496895593722729E+010                  5.2858966825757370E-001                  1.6334986889181339E+003                  8.0425611435199457E+001                  9.5877720032656489E-018                                        4                                        0 
                                    4919                  1.2496895735094688E+010                  5.2850381941295588E-001                  1.6339635598290743E+003                  7.9360316150203474E+001                  9.1975122179315512E-018                                        4                                        0 
                                    4920                  1.2496895876466648E+010                  5.2841897575590124E-001                  1.6344406705005545E+003                  7.8296386100624289E+001                  8.7812428291212029E-018                                        4                                        0 
                                    4921                  1.2496896046112999E+010                  5.2831836967331691E-001                  1.6349875499874161E+003                  7.6885566578518009E+001                  8.5009711483271232E-018                                        4                                        0 
                                    4922                  1.2496896147900810E+010                  5.2825898525426729E-001                  1.6353390941260927E+003                  7.5918308075071891E+001                  9.6709644389638719E-018                                        5                                        0 
                                    4923                  1.2496896249688622E+010                  5.2820028080512382E-001                  1.6356791801242446E+003                  7.4918068626621476E+001                  9.4612516289538462E-018                                        5                                        0 
                                    4924                  1.2496896371833994E+010                  5.2813068612040281E-001                  1.6360880154556260E+003                  7.3687104131607441E+001                  9.5622942141600065E-018                                        5                                        0 
                                    4925                  1.2496896445121218E+010                  5.2808956061698609E-001                  1.6363672798781538E+003                  7.2757520838456600E+001                  1.1007305453326366E-017                                        6                                        0 
                                    4926                  1.2496896518408442E+010                  5.2804891846189717E-001                  1.6365956207942227E+003                  7.1914696285346679E+001                  1.1059964431257575E-017                                        6                                        0 
                                    4927                  1.2496896606353109E+010                  5.2800067643325088E-001                  1.6368869347549949E+003                  7.0780239543080725E+001                  1.0847621478314024E-017                                        6                                        0 
                                    4928                  1.2496896659119909E+010                  5.2797216098556365E-001                  1.6370669061481376E+003                  7.0098419729779906E+001                  1.2243411613884196E-017                                        7                                        0 
                                    4929                  1.2496896711886709E+010                  5.2794390400396152E-001                  1.6372667600272603E+003                  6.9322843072592619E+001                  1.2306993631197879E-017                                        7                                        0 
                                    4930                  1.2496896775206871E+010                  5.2791035007603693E-001                  1.6374679140033575E+003                  6.8422731719260781E+001                  1.2080631552200440E-017                                        7                                        0 
                                    4931                  1.2496896813198967E+010                  5.2789046617286872E-001                  1.6375617965720135E+003                  6.7847397878122877E+001                  1.2677254683579694E-017                                        8                                        0 
                                    4932                  1.2496896851191063E+010                  5.2787074297809844E-001                  1.6376914488268751E+003                  6.7278026444138220E+001                  1.2597299824272386E-017                                        8                                        0 
                                    4933                  1.2496896896781578E+010                  5.2784726416828998E-001                  1.6378503958313963E+003                  6.6513703108841099E+001                  1.2415533263010367E-017                                        8                                        0 
                                    4934                  1.2496896951490196E+010                  5.2781939583208637E-001                  1.6380309547480333E+003                  6.5623267237525042E+001                  1.2348673970209441E-017                                        8                                        0 
                                    4935                  1.2496897017140539E+010                  5.2778638266218891E-001                  1.6382051456166384E+003                  6.4496335075756363E+001                  1.4979525136116564E-017                                        8                                        0 
                                    4936                  1.2496897056530746E+010                  5.2776690347885991E-001                  1.6383375715287227E+003                  6.3777271099614175E+001                  1.8030788671394390E-017                                        9                                        0 
                                    4937                  1.2496897095920954E+010                  5.2774763350082676E-001                  1.6384537756804550E+003                  6.3060466351794780E+001                  1.7868803033135971E-017                                        9                                        0 
                                    4938                  1.2496897143189199E+010                  5.2772476083217768E-001                  1.6385979753650645E+003                  6.2183261327680583E+001                  1.7537640442554275E-017                                        9                                        0 
                                    4939                  1.2496897199911095E+010                  5.2769768298278630E-001                  1.6387151691609401E+003                  6.1039848646449933E+001                  2.1164120667945559E-017                                        9                                        0 
                                    4940                  1.2496897267977371E+010                  5.2766577352898236E-001                  1.6388927984222523E+003                  5.9697382812141029E+001                  2.4595547990600725E-017                                        9                                        0 
                                    4941                  1.2496897308817139E+010                  5.2764703790993017E-001                  1.6389728329390998E+003                  5.8803252166070507E+001                  3.2485775873555799E-017                                       10                                        0 
                                    4942                  1.2496897349656904E+010                  5.2762857754104531E-001                  1.6390662155342991E+003                  5.7899088720872975E+001                  3.2223652705866816E-017                                       10                                        0 
                                    4943                  1.2496897398664621E+010                  5.2760675875121665E-001                  1.6391800963690375E+003                  5.6804958362619345E+001                  3.4615183282794935E-017                                       10                                        0 
                                    4944                  1.2496897457473883E+010                  5.2758106108176928E-001                  1.6392861563338668E+003                  5.5508637101676136E+001                  4.5163669611645565E-017                                       10                                        0 
                                    4945                  1.2496897492759439E+010                  5.2756598845831149E-001                  1.6393122864376560E+003                  5.4661740594652400E+001                  5.7144674646200715E-017                                       11                                        0 
                                    4946                  1.2496897528044994E+010                  5.2755114360810618E-001                  1.6393540123411051E+003                  5.3829521078530732E+001                  5.6043751092735386E-017                                       11                                        0 
                                    4947                  1.2496897570387665E+010                  5.2753359781885967E-001                  1.6394165709847807E+003                  5.2812915866635727E+001                  6.0014130593975909E-017                                       11                                        0 
                                    4948                  1.2496897621198866E+010                  5.2751293546090539E-001                  1.6394444145752552E+003                  5.1630668113049332E+001                  7.7662236153049962E-017                                       11                                        0 
                                    4949                  1.2496897682172310E+010                  5.2748869121110864E-001                  1.6394684893885749E+003                  5.0088569404038850E+001                  1.0775897106009283E-016                                       11                                        0 
                                    4950                  1.2496897755340443E+010                  5.2746046150525705E-001                  1.6394642169818787E+003                  4.8186666906787970E+001                  1.5911640404288987E-016                                       11                                        0 
                                    4951                  1.2496897799241322E+010                  5.2744416427777074E-001                  1.6394157712535803E+003                  4.7001084269330526E+001                  1.7553445252463371E-016                                       12                                        0 
                                    4952                  1.2496897843142200E+010                  5.2742826824197531E-001                  1.6393819542525757E+003                  4.5775988235597964E+001                  1.7615487982840399E-016                                       12                                        0 
                                    4953                  1.2496897895823254E+010                  5.2740968988260717E-001                  1.6393025781479446E+003                  4.4307304561679551E+001                  2.4194089960491837E-016                                       12                                        0 
                                    4954                  1.2496897927431887E+010                  5.2739890126424560E-001                  1.6392410036721990E+003                  4.3375449895432176E+001                  2.7304964551278452E-016                                       13                                        0 
                                    4955                  1.2496897959040518E+010                  5.2738834034614801E-001                  1.6391932613602710E+003                  4.2437482630408532E+001                  2.5650885361317682E-016                                       13                                        0 
                                    4956                  1.2496897996970879E+010                  5.2737594185886505E-001                  1.6391065743983611E+003                  4.1332347563893137E+001                  3.6805220475995015E-016                                       13                                        0 
                                    4957                  1.2496898019729094E+010                  5.2736869738115666E-001                  1.6390569761507859E+003                  4.0636704827862140E+001                  3.8559603027720451E-016                                       14                                        0 
                                    4958                  1.2496898042487309E+010                  5.2736157532551708E-001                  1.6389964407090092E+003                  3.9953745229842532E+001                  4.0534864183510042E-016                                       14                                        0 
                                    4959                  1.2496898069797169E+010                  5.2735317329115750E-001                  1.6389159168951305E+003                  3.9155294605446826E+001                  4.7433626658071585E-016                                       14                                        0 
                                    4960                  1.2496898102568998E+010                  5.2734329364931365E-001                  1.6388276192610463E+003                  3.8179735855636295E+001                  5.5347393291276228E-016                                       14                                        0 
                                    4961                  1.2496898141895195E+010                  5.2733173509499065E-001                  1.6387205876121554E+003                  3.7008701419696408E+001                  6.4546775221354944E-016                                       14                                        0 
                                    4962                  1.2496898189086632E+010                  5.2731829258859064E-001                  1.6385676601902549E+003                  3.5638811903086484E+001                  7.8240367878691423E-016                                       14                                        0 
                                    4963                  1.2496898217401495E+010                  5.2731052769999331E-001                  1.6384518836089808E+003                  3.4821625864452045E+001                  7.3823714712494078E-016                                       15                                        0 
                                    4964                  1.2496898245716356E+010                  5.2730294249470022E-001                  1.6383698412074634E+003                  3.4019893573867357E+001                  8.4529056572788449E-016                                       15                                        0 
                                    4965                  1.2496898279694191E+010                  5.2729405106920713E-001                  1.6382487611970905E+003                  3.3085021209661107E+001                  1.1708587332038423E-015                                       15                                        0 
                                    4966                  1.2496898320467592E+010                  5.2728367685883992E-001                  1.6381034873984831E+003                  3.1981000361914120E+001                  1.6315274542301901E-015                                       15                                        0 
                                    4967                  1.2496898369395672E+010                  5.2727164643543989E-001                  1.6379199665349931E+003                  3.0698373792632694E+001                  1.1008499610173154E-015                                       15                                        0 
                                    4968                  1.2496898428109369E+010                  5.2725779367999048E-001                  1.6376860259425885E+003                  2.9246491736723879E+001                  1.7223970028426712E-015                                       15                                        0 
                                    4969                  1.2496898498565805E+010                  5.2724196365254250E-001                  1.6374062806462564E+003                  2.7618978620353548E+001                  2.8669017165413003E-015                                       15                                        0 
                                    4970                  1.2496898561559347E+010                  5.2722860518056269E-001                  1.6371875141300338E+003                  2.6283690312071069E+001                  4.9763890020444859E-015                                       15                                        0 
                                    4971                  1.2496898621837528E+010                  5.2721644558828429E-001                  1.6369823005157787E+003                  2.5105759654944357E+001                  5.4241685341672920E-015                                       15                                        0 
                                    4972                  1.2496898694171343E+010                  5.2720251347790681E-001                  1.6367302709292501E+003                  2.3780340430162063E+001                  7.1602153279299314E-015                                       15                                        0 
                                    4973                  1.2496898780971924E+010                  5.2718668529662871E-001                  1.6364542155771894E+003                  2.2297867425396262E+001                  9.9423481746198644E-015                                       15                                        0 
                                    4974                  1.2496898854241270E+010                  5.2717416411427132E-001                  1.6362317571541180E+003                  2.1139130985559991E+001                  1.0916661482132686E-014                                       15                                        0 
                                    4975                  1.2496898922045521E+010                  5.2716318373642823E-001                  1.6360749818592083E+003                  2.0137993160566829E+001                  1.2517565200444698E-014                                       15                                        0 
                                    4976                  1.2496898987849710E+010                  5.2715303488228682E-001                  1.6359470895024951E+003                  1.9227348525763880E+001                  1.4120203944309729E-014                                       15                                        0 
                                    4977                  1.2496899053240379E+010                  5.2714340806394444E-001                  1.6358075479599856E+003                  1.8386705400388760E+001                  1.5928098316190392E-014                                       15                                        0 
                                    4978                  1.2496899131709183E+010                  5.2713236381825190E-001                  1.6356406709423286E+003                  1.7458503821128321E+001                  1.9921444768621660E-014                                       15                                        0 
                                    4979                  1.2496899225871746E+010                  5.2711978370120149E-001                  1.6355053572947859E+003                  1.6456524965009386E+001                  2.5371755947573105E-014                                       15                                        0 
                                    4980                  1.2496899307983913E+010                  5.2710944551812033E-001                  1.6353484440166217E+003                  1.5680070351116566E+001                  2.7924560371175760E-014                                       15                                        0 
                                    4981                  1.2496899386892378E+010                  5.2709998222255205E-001                  1.6352447074377460E+003                  1.5006934221661179E+001                  2.9462324447858531E-014                                       15                                        0 
                                    4982                  1.2496899481582537E+010                  5.2708911571818051E-001                  1.6351829686149433E+003                  1.4279624804516802E+001                  3.6315989076784161E-014                                       15                                        0 
                                    4983                  1.2496899595210726E+010                  5.2707670882598034E-001                  1.6350731545297829E+003                  1.3507185943463053E+001                  4.4048461886199801E-014                                       15                                        0 
                                    4984                  1.2496899696856735E+010                  5.2706621245634921E-001                  1.6350001383775341E+003                  1.2896688898809797E+001                  4.7374595769046648E-014                                       15                                        0 
                                    4985                  1.2496899796479750E+010                  5.2705639097818358E-001                  1.6349374560207582E+003                  1.2360833603421058E+001                  5.0807749943671300E-014                                       15                                        0 
                                    4986                  1.2496899916027367E+010                  5.2704509585114301E-001                  1.6348701708702022E+003                  1.1782961797771272E+001                  6.1268232844457326E-014                                       15                                        0 
                                    4987                  1.2496900059484509E+010                  5.2703217646746725E-001                  1.6348119850224850E+003                  1.1169928325915270E+001                  2.0728424351841793E-014                                       15                                        0 
                                    4988                  1.2496900190298740E+010                  5.2702100921465833E-001                  1.6348124310066987E+003                  1.0676673947593850E+001                  3.5731851424440391E-014                                       15                                        0 
                                    4989                  1.2496900347275820E+010                  5.2700819942042654E-001                  1.6348157501592996E+003                  1.0150163305556926E+001                  3.0755997958661682E-014                                       15                                        0 
                                    4990                  1.2496900535648314E+010                  5.2699358450066158E-001                  1.6348592491242139E+003                  9.5955120887409482E+000                  3.4378981074079001E-014                                       15                                        0 
