                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200608"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.0000000000000000E+000                  3.2573006179487425E+002                  2.9398978632918119E+001                  0.0000000000000000E+000                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.0000000000000000E+000                  2.9103904867488757E+002                  2.9365534248405037E+001                  0.0000000000000000E+000                                        0                                        0 
                                      20                  1.8668799962237360E-003                  1.0000000000000000E+000                  2.2145613533077216E+002                  2.9256550307117095E+001                  0.0000000000000000E+000                                        0                                        0 
                                      30                  1.1818815689988476E-002                  1.0000000000000000E+000                  1.7678693912216693E+002                  2.9100247353825321E+001                  0.0000000000000000E+000                                        0                                        0 
                                      40                  7.3438578398454205E-002                  1.0000000000000000E+000                  1.6404181662544536E+002                  2.8995954141622061E+001                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.5497190750010674E-001                  1.0000000000000000E+000                  1.6252775078487690E+002                  2.8960806716937604E+001                  0.0000000000000000E+000                                        0                                        0 
                                      60                  2.8173257176583335E+000                  1.0000000000000000E+000                  1.6225805118852344E+002                  2.8933764253013198E+001                  0.0000000000000000E+000                                        0                                        0 
                                      70                  1.7444397846610439E+001                  1.0000000000000000E+000                  1.6098832773910709E+002                  2.8787864475690572E+001                  0.0000000000000000E+000                                        0                                        0 
                                      80                  1.0801137310051506E+002                  1.0000000000000000E+000                  1.5370994413908846E+002                  2.7942744459655167E+001                  0.0000000000000000E+000                                        0                                        0 
                                      90                  6.6877821244671554E+002                  1.0000000000000000E+000                  1.2282365915299208E+002                  2.4191286614244472E+001                  0.0000000000000000E+000                                        0                                        0 
                                     100                  2.4846574357798827E+003                  1.0000000000000000E+000                  8.0564182475035366E+001                  1.8512380101127118E+001                  0.0000000000000000E+000                                        0                                        0 
                                     110                  5.9986205014570978E+003                  1.0000000000000000E+000                  5.3056777083724036E+001                  1.4254953224763829E+001                  0.0000000000000000E+000                                        0                                        0 
                                     120                  1.3012436813373210E+004                  1.0000000000000000E+000                  3.4507567790353832E+001                  1.0964216562972737E+001                  0.0000000000000000E+000                                        0                                        0 
                                     130                  2.6302855271232893E+004                  1.0000000000000000E+000                  2.2605140284967582E+001                  8.5234638774325902E+000                  0.0000000000000000E+000                                        0                                        0 
                                     140                  5.3199412284574129E+004                  1.0000000000000000E+000                  1.4513451530218607E+001                  6.5980852946867579E+000                  0.0000000000000000E+000                                        0                                        0 
                                     149                  9.9775258690944334E+004                  1.0000000000000000E+000                  9.6432954879164647E+000                  5.2518154231084813E+000                  0.0000000000000000E+000                                        0                                        0 
