                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200610"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  7.5852787893281029E+003                  9.9999987707040405E-001                  9.1799323537193089E+000                  5.1133920270149682E+000                  0.0000000000000000E+000                                        0                                        0 
                                       2                  1.6687613336521827E+004                  9.9999974034431360E-001                  8.7015916859779789E+000                  4.9645293007135827E+000                  0.0000000000000000E+000                                        0                                        0 
                                       3                  2.6631168202910987E+004                  9.9999960288678091E-001                  8.2352681171857895E+000                  4.8194695036593025E+000                  0.0000000000000000E+000                                        0                                        0 
                                       4                  3.5329373529674340E+004                  9.9999949241361863E-001                  7.8726926969231146E+000                  4.7045135459170959E+000                  0.0000000000000000E+000                                        0                                        0 
                                       5                  4.3786999549640997E+004                  9.9999939217462475E-001                  7.5619497561905389E+000                  4.6019838702820612E+000                  0.0000000000000000E+000                                        0                                        0 
                                       6                  5.3936150773600981E+004                  9.9999927915370279E-001                  7.2202373477455213E+000                  4.4898605297361245E+000                  0.0000000000000000E+000                                        0                                        0 
                                       7                  6.6072628677582674E+004                  9.9999915325325195E-001                  6.8612712797647335E+000                  4.3688912087835696E+000                  0.0000000000000000E+000                                        0                                        0 
                                       8                  7.7144046281035335E+004                  9.9999904705205800E-001                  6.5655137230047940E+000                  4.2684875783568730E+000                  0.0000000000000000E+000                                        0                                        0 
                                       9                  9.0429747405178539E+004                  9.9999892790656875E-001                  6.2488276605454969E+000                  4.1593073349111878E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.0589766895821143E+005                  9.9999879925888713E-001                  5.9274225955455577E+000                  4.0450472892349287E+000                  0.0000000000000000E+000                                        0                                        0 
                                      11                  1.1985034967152635E+005                  9.9999869220618109E-001                  5.6656656182492355E+000                  3.9514553232570888E+000                  0.0000000000000000E+000                                        0                                        0 
                                      12                  1.3659356652750421E+005                  9.9999857225695121E-001                  5.3900695911633454E+000                  3.8497543769674145E+000                  0.0000000000000000E+000                                        0                                        0 
                                      13                  1.5598889141000935E+005                  9.9999844346905442E-001                  5.1065029198481797E+000                  3.7439876218273449E+000                  0.0000000000000000E+000                                        0                                        0 
                                      14                  1.7346612645319846E+005                  9.9999833654353465E-001                  4.8777211770995219E+000                  3.6574940965386729E+000                  0.0000000000000000E+000                                        0                                        0 
                                      15                  1.9443880850502534E+005                  9.9999821681290157E-001                  4.6358199343757249E+000                  3.5636034495929803E+000                  0.0000000000000000E+000                                        0                                        0 
                                      16                  2.1873253625887551E+005                  9.9999808838456961E-001                  4.3909761554974693E+000                  3.4659795242942972E+000                  0.0000000000000000E+000                                        0                                        0 
                                      17                  2.4063703993437716E+005                  9.9999798170744592E-001                  4.1923435154922402E+000                  3.3861170816579231E+000                  0.0000000000000000E+000                                        0                                        0 
                                      18                  2.6692244434497913E+005                  9.9999786230194099E-001                  3.9811504184357420E+000                  3.2994753681148299E+000                  0.0000000000000000E+000                                        0                                        0 
                                      19                  2.9736645388718037E+005                  9.9999773433251171E-001                  3.7653531239321079E+000                  3.2095160960558626E+000                  0.0000000000000000E+000                                        0                                        0 
                                      20                  3.2485766690321564E+005                  9.9999762801859082E-001                  3.5951076311996779E+000                  3.1358072034892466E+000                  0.0000000000000000E+000                                        0                                        0 
                                      21                  3.5784712252245797E+005                  9.9999750900750761E-001                  3.4105331901985823E+000                  3.0559084943920936E+000                  0.0000000000000000E+000                                        0                                        0 
                                      22                  3.9608714482357213E+005                  9.9999738147179207E-001                  3.2227566588084535E+000                  2.9729225581358731E+000                  0.0000000000000000E+000                                        0                                        0 
                                      23                  4.3066318175727682E+005                  9.9999727546408534E-001                  3.0741772438852650E+000                  2.9048790735619123E+000                  0.0000000000000000E+000                                        0                                        0 
                                      24                  4.7215442607772246E+005                  9.9999715689688029E-001                  2.9150025614689477E+000                  2.8311539479147818E+000                  0.0000000000000000E+000                                        0                                        0 
                                      25                  5.2026438707830757E+005                  9.9999702984279204E-001                  2.7530241281550087E+000                  2.7546004368109589E+000                  0.0000000000000000E+000                                        0                                        0 
                                      26                  5.6383314947212778E+005                  9.9999692411354923E-001                  2.6223624258413913E+000                  2.6918051452488263E+000                  0.0000000000000000E+000                                        0                                        0 
                                      27                  6.1611566434471216E+005                  9.9999680601512120E-001                  2.4843449728200904E+000                  2.6237979679304071E+000                  0.0000000000000000E+000                                        0                                        0 
                                      28                  6.7678706537545950E+005                  9.9999667946059512E-001                  2.3440856255306897E+000                  2.5531717225553270E+000                  0.0000000000000000E+000                                        0                                        0 
